id,data_pedido,cliente,produto,categoria,vendedor,regiao,qtd,valor_unitario,valor_total,status,prazo_dias,entrega_dias
624,2024-01-01,Cliente Q,SSD 1TB,Eletrônicos,Carlos Lima,Nordeste,1,457.28,457.28,Entregue,14,18
413,2024-01-01,Cliente G,Webcam HD,Periféricos,Ana Silva,Centro-Oeste,3,201.76,605.28,Cancelado,8,
428,2024-01-01,Cliente S,Teclado Mecânico,Periféricos,Eduardo Rocha,Centro-Oeste,4,260.06,1040.25,Entregue,11,15
755,2024-01-01,Cliente M,Teclado Mecânico,Periféricos,Diana Santos,Norte,5,272.08,1360.4,Cancelado,13,
568,2024-01-01,Cliente A,Mesa Standing,Mobiliário,Carlos Lima,Norte,4,1535.83,6143.31,Cancelado,4,
16,2024-01-01,Cliente M,Headset Gamer,Periféricos,Ana Silva,Norte,4,333.01,1332.03,Em trânsito,9,
500,2024-01-01,Cliente S,Teclado Mecânico,Periféricos,Bruno Costa,Norte,4,278.08,1112.32,Entregue,7,6
1185,2024-01-02,Cliente T,Notebook Pro,Eletrônicos,Carlos Lima,Norte,1,3362.41,3362.41,Entregue,8,10
180,2024-01-02,Cliente H,Notebook Pro,Eletrônicos,Ana Silva,Nordeste,1,3036.41,3036.41,Entregue,10,8
892,2024-01-02,Cliente E,Teclado Mecânico,Periféricos,Ana Silva,Nordeste,1,293.29,293.29,Entregue,14,13
626,2024-01-03,Cliente I,Notebook Pro,Eletrônicos,Diana Santos,Sudeste,1,3350.63,3350.63,Em trânsito,11,
815,2024-01-03,Cliente P,SSD 1TB,Eletrônicos,Diana Santos,Norte,1,404.52,404.52,Em trânsito,4,
651,2024-01-03,Cliente G,Webcam HD,Periféricos,Eduardo Rocha,Nordeste,2,174.05,348.09,Em trânsito,10,
684,2024-01-03,Cliente P,Webcam HD,Periféricos,Carlos Lima,Centro-Oeste,1,204.73,204.73,Entregue,10,12
564,2024-01-04,Cliente S,SSD 1TB,Eletrônicos,Diana Santos,Sul,2,441.46,882.91,Entregue,6,10
